# file...... output/Gen_1_meter.csv
# date...... Tue Feb 28 22:47:23 2023
# user...... ananth
# host...... (null)
# target.... diesel_dg 1
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_A.real,power_out_A.imag,power_out_A, power_out_B.real,power_out_B.imag,power_out_B, power_out_C.real,power_out_C.imag, power_out_C, pwr_electric.real,pwr_electric.imag,pwr_electric
2001-08-01 13:00:09.074000 PDT,+257289.202909,+221602.56081,+257289.202909+221602.56081i,+106680.665071,+132218.558888,+106680.665071+132218.558888j,+52016.1885922,+75155.3024192,+52016.1885922+75155.3024192j,+415986.056572,+428976.422118,+415986.056572+428976.422118i
2001-08-01 13:00:09.076000 PDT,+257216.863479,+221617.85986,+257216.863479+221617.85986i,+106604.10199,+132217.997595,+106604.10199+132217.997595j,+51927.1906933,+75160.9290417,+51927.1906933+75160.9290417j,+415748.156162,+428996.786497,+415748.156162+428996.786497i
2001-08-01 13:00:09.078000 PDT,+257145.141691,+221633.226077,+257145.141691+221633.226077i,+106528.155765,+132217.643961,+106528.155765+132217.643961j,+51838.9230573,+75166.7491127,+51838.9230573+75166.7491127j,+415512.220512,+429017.619151,+415512.220512+429017.619151i
2001-08-01 13:00:09.080000 PDT,+257074.044868,+221648.652756,+257074.044868+221648.652756i,+106452.83547,+132217.492188,+106452.83547+132217.492188j,+51751.3963462,+75172.7559556,+51751.3963462+75172.7559556j,+415278.276685,+429038.9009,+415278.276685+429038.9009i
2001-08-01 13:00:09.082000 PDT,+257003.579719,+221664.133332,+257003.579719+221664.133332i,+106378.149384,+132217.536486,+106378.149384+132217.536486j,+51664.6203488,+75178.9428226,+51664.6203488+75178.9428226j,+415046.349452,+429060.61264,+415046.349452+429060.61264i
2001-08-01 13:00:09.084000 PDT,+256933.752248,+221679.661426,+256933.752248+221679.661426i,+106304.104942,+132217.771091,+106304.104942+132217.771091j,+51578.6038934,+75185.3029052,+51578.6038934+75185.3029052j,+414816.461084,+429082.735422,+414816.461084+429082.735422i
2001-08-01 13:00:09.086000 PDT,+256864.567712,+221695.230833,+256864.567712+221695.230833i,+106230.708625,+132218.1903,+106230.708625+132218.1903j,+51493.3547242,+75191.8294203,+51493.3547242+75191.8294203j,+414588.631062,+429105.250553,+414588.631062+429105.250553i
2001-08-01 13:00:09.088000 PDT,+256796.030513,+221710.835584,+256796.030513+221710.835584i,+106157.965919,+132218.788511,+106157.965919+132218.788511j,+51408.8793856,+75198.5156241,+51408.8793856+75198.5156241j,+414362.875817,+429128.139719,+414362.875817+429128.139719i
2001-08-01 13:00:09.090000 PDT,+256728.144161,+221726.469949,+256728.144161+221726.469949i,+106085.881269,+132219.560227,+106085.881269+132219.560227j,+51325.1831853,+75205.3548551,+51325.1831853+75205.3548551j,+414139.208615,+429151.385031,+414139.208615+429151.385031i
2001-08-01 13:00:09.092000 PDT,+256660.911188,+221742.128471,+256660.911188+221742.128471i,+106014.458034,+132220.500111,+106014.458034+132220.500111j,+51242.270083,+75212.3405891,+51242.270083+75212.3405891j,+413917.639304,+429174.969171,+413917.639304+429174.969171i
